TCGA-AX-A2HJ	162	164	4976	5156	262	299	696	757	157	172	3480	3645
TCGA-AX-A2IN	94	92	599	660	115	105	423	459	53	71	1880	1927
TCGA-AX-A3FS	54	64	829	835	43	49	442	430	96	68	2754	2784
TCGA-AX-A3G8	58	54	561	598	67	61	461	428	77	78	3085	3187
TCGA-AX-A3G9	105	110	513	563	133	132	461	440	35	40	2496	2593
TCGA-AY-6197	168	166	2177	2376	175	194	799	827	79	87	3240	3234
TCGA-AZ-4313	67	90	250	249	62	61	272	298	25	27	1969	1902
TCGA-AZ-6598	303	301	2105	2061	363	347	1495	1496	130	125	8655	9037
TCGA-B5-A0JR	141	151	909	964	127	154	528	574	35	50	1987	1982
TCGA-B5-A0JU	25	32	295	350	93	89	292	330	58	71	1719	1760
TCGA-B5-A0JV	17	12	181	189	65	72	287	266	42	39	1528	1609
TCGA-B5-A0JZ	26	25	429	440	101	102	363	373	59	79	1868	1940
TCGA-B5-A0K6	35	38	379	364	77	99	384	366	44	40	1470	1549
TCGA-B5-A0K9	117	122	795	795	121	118	529	515	63	64	2821	2840
TCGA-B5-A11G	164	194	1549	1626	180	176	146	147	92	76	1011	1027
TCGA-B5-A11H	87	90	1156	1179	146	141	532	456	59	64	3449	3510
TCGA-B5-A11J	53	54	378	454	89	67	290	279	54	60	1611	1564
TCGA-B5-A11U	54	36	333	353	54	49	198	208	37	42	1327	1364
TCGA-B5-A1MW	229	228	1819	1972	183	203	236	242	58	53	794	858
TCGA-B5-A3FC	1253	1281	11550	11655	1060	1069	8480	8436	469	446	61001	61523
TCGA-B5-A5OC	114	113	911	1059	202	214	1046	1033	64	81	3713	3756
TCGA-B7-5816	327	325	1844	1895	164	136	824	809	60	88	3587	3688
TCGA-B7-A5TI	113	98	527	493	97	101	436	452	103	89	2169	2202
TCGA-B7-A5TJ	180	167	146	174	65	61	121	104	25	32	891	907
TCGA-BG-A0LX	52	52	668	682	71	79	341	379	64	76	1644	1714
TCGA-BG-A0M0	9	20	107	88	27	34	111	102	35	38	556	598
TCGA-BG-A0M4	126	131	1436	1391	99	119	330	339	33	31	1600	1564
TCGA-BG-A0MQ	123	121	727	758	179	167	407	415	108	94	2112	2098
TCGA-BG-A0VW	106	90	404	410	58	57	322	351	94	89	1847	1810
TCGA-BG-A0VZ	101	88	297	292	48	47	240	265	72	59	1134	1188
TCGA-BG-A18B	27	16	323	283	18	21	273	227	46	51	1321	1353
TCGA-BG-A220	54	46	632	674	51	57	407	434	87	87	2764	2833
TCGA-BG-A221	192	181	2191	2255	105	118	533	531	115	105	4802	4688
TCGA-BG-A222	234	238	10514	10884	2043	2106	1395	1469	269	289	15402	15678
TCGA-BG-A2L7	63	79	446	484	57	64	365	361	53	45	2140	2138
TCGA-BG-A3EW	85	81	526	600	135	95	416	430	62	59	1396	1328
TCGA-BK-A0C9	68	73	719	762	158	207	431	494	449	440	2455	2406
TCGA-BK-A13B	88	90	748	689	106	98	507	492	66	62	2279	2279
TCGA-BR-4184	215	233	2013	2060	308	308	1157	1191	108	125	16574	16245
TCGA-BR-4201	120	114	1315	1298	184	172	507	534	78	85	4992	5084
TCGA-BR-4256	288	293	1252	1203	160	177	610	611	114	108	3133	3127
TCGA-BR-4257	211	200	1502	1549	188	202	646	677	62	51	3381	3431
TCGA-BR-4292	263	258	837	868	180	212	624	666	94	81	5339	5480
TCGA-BR-4361	359	351	6227	6325	604	622	834	809	190	186	6692	6946
TCGA-BR-4362	544	550	1906	2001	253	274	628	675	124	144	4938	4789
TCGA-BR-4363	128	137	590	658	66	85	258	255	41	31	1854	1803
TCGA-BR-4368	107	104	1155	1279	121	136	591	570	78	86	5027	4981
TCGA-BR-4370	104	158	683	702	109	124	499	492	38	47	4374	4405
TCGA-BR-6802	90	96	453	547	86	85	247	227	24	27	1629	1597
TCGA-BR-6852	340	352	922	927	148	162	711	716	71	70	3366	3509
TCGA-BR-7703	112	103	563	558	38	44	376	430	62	72	2466	2522
TCGA-BR-7707	282	317	1763	1762	175	169	684	669	70	89	4455	4506
TCGA-BR-7851	142	152	1306	1287	159	208	798	765	51	60	5352	5465
TCGA-BR-8059	348	376	702	727	305	273	578	568	403	328	1856	1896
TCGA-BR-8078	242	226	1586	1754	160	185	710	776	117	108	5138	4905
TCGA-BR-8081	178	194	786	838	148	115	656	653	49	52	3528	3459
TCGA-BR-8284	47	48	284	283	46	68	341	323	32	17	1284	1361
TCGA-BR-8360	241	216	721	682	154	148	606	614	76	73	3252	3173
TCGA-BR-8361	228	269	1592	1600	213	214	730	759	174	188	5749	5775
TCGA-BR-8363	391	390	1514	1540	189	213	768	803	61	70	3686	3605
TCGA-BR-8368	128	151	793	818	112	100	477	457	97	99	3687	3754
TCGA-BR-8372	264	244	2852	2924	226	224	745	765	92	96	3456	3331
TCGA-BR-8382	245	239	874	911	100	90	612	617	48	53	3246	3170
TCGA-BR-A4QL	248	253	1343	1414	251	264	705	709	133	134	6682	6747
TCGA-BS-A0TA	128	106	629	721	22	38	381	422	28	34	1618	1493
TCGA-BS-A0TE	50	42	363	374	127	163	281	270	76	87	1098	1021
TCGA-BS-A0TJ	99	73	581	650	80	100	557	518	54	66	2754	2758
TCGA-BS-A0U8	40	44	383	434	91	96	257	204	43	40	1646	1580
TCGA-BS-A0UA	72	51	321	311	49	58	195	199	52	47	1314	1255
TCGA-BS-A0UJ	1390	1455	6939	7224	859	958	1583	1556	105	94	1592	1513
TCGA-BS-A0UL	29	28	328	320	126	115	227	215	16	19	1662	1694
TCGA-BS-A0UM	97	89	486	470	100	119	339	358	93	69	1655	1660
TCGA-BS-A0V4	28	26	261	268	65	42	301	316	44	44	1142	1163
TCGA-BS-A0VI	11	15	312	351	29	29	321	329	31	56	969	1009
TCGA-CD-8536	74	74	766	797	94	105	503	530	75	59	3006	3202
TCGA-CD-A4MJ	127	133	760	761	73	88	454	439	69	94	2108	2123
TCGA-CG-4305	315	310	1414	1443	147	149	655	680	123	110	3740	3798
TCGA-CG-4306	103	95	792	821	139	129	506	530	76	76	3994	3992
TCGA-CG-4442	191	174	2168	2188	174	145	770	786	76	79	4130	4136
TCGA-CG-4460	254	254	1220	1140	191	196	788	717	135	139	8031	8150
TCGA-CG-4465	173	165	710	706	69	72	510	498	70	65	1826	1819
TCGA-CG-5721	532	534	13593	13984	941	969	992	982	237	214	8516	8612
TCGA-CG-5723	416	436	1907	1964	227	222	690	690	128	114	5652	5775
TCGA-CG-5726	248	238	1209	1290	274	310	657	742	80	84	4431	4392
TCGA-CG-5728	260	310	1538	1471	141	150	693	707	118	147	4549	4557
