TCGA-A6-6141	0	0	0	0	0	0	5	8	0	1	733	515
TCGA-AA-3518	0	0	0	0	0	0	8	15	1	1	356	314
TCGA-AA-3555	0	0	0	0	0	0	7	13	0	0	741	536
TCGA-AA-3977	0	0	0	0	0	0	34	36	3	1	2603	1786
TCGA-AA-A00N	0	0	0	0	0	0	28	22	2	0	4140	2541
TCGA-AD-6964	0	0	0	0	0	0	9	19	2	0	295	265
TCGA-AZ-4315	0	0	0	0	0	0	29	24	1	0	4311	2937
TCGA-CA-6717	0	0	0	0	0	0	157	100	0	0	4319	2560
TCGA-CA-6718	0	0	0	0	0	0	64	38	0	0	2007	1304
TCGA-D5-6540	0	0	0	0	0	0	12	19	0	2	404	304
TCGA-EI-6917	0	0	0	0	0	0	35	17	0	0	4719	3163
TCGA-F5-6814	0	0	0	0	0	0	106	87	2	6	4123	2819
