sample	SBS1	SBS2	SBS3	SBS4	SBS5	SBS6	SBS7a	SBS7b	SBS7c	SBS7d	SBS8	SBS9	SBS10a	SBS10b	SBS11	SBS12	SBS13	SBS14	SBS15	SBS16	SBS17a	SBS17b	SBS18	SBS19	SBS20	SBS21	SBS22	SBS23	SBS24	SBS25	SBS26	SBS27	SBS28	SBS29	SBS30	SBS31	SBS32	SBS33	SBS34	SBS35	SBS36	SBS37	SBS38	SBS39	SBS40	SBS41	SBS42	SBS43	SBS44	SBS45	SBS46	SBS47	SBS48	SBS49	SBS50	SBS51	SBS52	SBS53	SBS54	SBS55	SBS56	SBS57	SBS58	SBS59	SBS60
TCGA-D7-A6EY-01A	0.226599056	0.001829996	0.00363375	0.003557634	0.005100733	0.052861507	0.001923742	0.002416904	0.007940556	0.002843777	0.005850188	0.004863007	0.002116632	0.005586838	0.003088513	0.008392713	0.001008037	0.010800102	0.100219808	0.005220684	0.032825142	0.027162739	0.002770842	0.004773668	0.046167374	0.034189285	0.02401335	0.004437493	0.002822537	0.008858805	0.093884048	0.001939507	0.003916404	0.002868917	0.002684666	0.003526855	0.005463494	0.003885218	0.010780689	0.004099045	0.002471424	0.007369148	0.004261135	0.002118641	0.003330598	0.003114971	0.009456566	0.007660897	0.04725802	0.005089037	0.008574315	0.002700204	0.001053005	0.002983257	0.002084927	0.002212411	0.001196991	0.002746427	0.088712664	0.005910709	0.001977605	0.002935641	0.002826397	0.003519735	0.001511021
TCGA-D7-A4YV-01A	0.307627259	0.002844445	0.004529228	0.003800112	0.006040709	0.252091105	0.004225983	0.003977958	0.00235975	0.00330208	0.003418581	0.003989419	0.003097416	0.010495853	0.004198478	0.008091465	0.002587395	0.013049839	0.036831514	0.005032662	0.002298158	0.012285262	0.004183943	0.006826308	0.047399404	0.017414333	0.002357612	0.007087876	0.005868975	0.004123747	0.011100848	0.001749833	0.002285465	0.004230878	0.004854179	0.004635761	0.004523381	0.007307673	0.003309707	0.004386779	0.003522032	0.003552573	0.004385469	0.004307083	0.004093024	0.003374032	0.005843235	0.00249211	0.047286849	0.004728404	0.005399048	0.001680916	0.001249976	0.003592469	0.002366461	0.002400563	0.001803298	0.007663514	0.030008892	0.002188592	0.003098283	0.002797918	0.002276393	0.00855001	0.001517479
TCGA-BR-8081-01A	0.268235407	0.003337754	0.003910498	0.003670185	0.005170403	0.148640491	0.005154162	0.005208923	0.002105515	0.004187226	0.004023097	0.003220676	0.001872481	0.015780638	0.006375372	0.010312773	0.001298867	0.015270525	0.108959637	0.00345161	0.003774354	0.015001389	0.003093757	0.006962991	0.083553191	0.022434217	0.002913713	0.008538041	0.005318887	0.004678305	0.021239551	0.002334362	0.002020058	0.004562535	0.00669507	0.004373163	0.006638855	0.008622361	0.001953388	0.005389556	0.002849083	0.003978694	0.004763121	0.002724819	0.003438463	0.002286499	0.011501811	0.00276588	0.031574215	0.004101151	0.009131477	0.002610496	0.001466379	0.002263369	0.003384042	0.002480457	0.001750801	0.00370211	0.046235369	0.001872592	0.002093561	0.002842329	0.002909028	0.005819273	0.001171
TCGA-VQ-A8PX-01A	0.145525091	0.002294347	0.005499724	0.004436565	0.006214682	0.025863148	0.004058472	0.004588111	0.004089651	0.00370725	0.005347264	0.004701287	0.002113814	0.009758581	0.005311826	0.016220761	0.00254755	0.015851854	0.130594812	0.005366604	0.009652533	0.021871067	0.003436283	0.00352046	0.029719361	0.069672265	0.003528247	0.006264158	0.003812412	0.006196265	0.146763246	0.003178495	0.003079951	0.004078133	0.004920586	0.005272279	0.005382807	0.007344345	0.004262643	0.006788517	0.003418289	0.006201589	0.005368947	0.003758586	0.00448802	0.003698904	0.008931058	0.009171097	0.019498776	0.006669225	0.012667182	0.004147633	0.002463621	0.00545267	0.003882945	0.00383278	0.002440423	0.003485643	0.1144632	0.004751038	0.002570037	0.003699561	0.003140503	0.006561173	0.002401652
TCGA-HU-A4GU-01A	0.021146087	0.003366026	0.002996298	0.00272331	0.005205805	0.02820148	0.002717943	0.002386833	0.00225048	0.002365189	0.003261875	0.003066588	0.003649138	0.005953425	0.006582796	0.01316065	0.002534903	0.051950642	0.551967179	0.004744823	0.003979124	0.032791123	0.002866013	0.002049816	0.039745201	0.012846839	0.001295701	0.002479162	0.003955112	0.002762751	0.015791102	0.001092102	0.001537796	0.003632287	0.003479506	0.001903438	0.008799438	0.003372475	0.00149611	0.002589267	0.002562299	0.004195365	0.002963575	0.00280025	0.003141126	0.002232467	0.004768435	0.013552619	0.013314378	0.004264135	0.012202328	0.00216513	0.00169516	0.005729033	0.002435564	0.002386586	0.001394305	0.001750618	0.014451679	0.00360899	0.002392091	0.002321153	0.004263598	0.017335109	0.003378177
TCGA-CG-4465-01A	0.08017123	0.004594179	0.006193151	0.005359418	0.008465878	0.221049463	0.004648493	0.005353785	0.003100711	0.005955849	0.00456529	0.005076844	0.00281985	0.012604971	0.006239643	0.011139905	0.001936533	0.019105603	0.073640392	0.007168445	0.032062571	0.017591128	0.005334134	0.009427219	0.09438099	0.028330316	0.002787778	0.009850236	0.007539043	0.005277023	0.032133119	0.00238551	0.005122395	0.006484317	0.007281981	0.006238863	0.007841354	0.004763641	0.001958344	0.006701871	0.004173443	0.008051263	0.005373343	0.007344226	0.006056247	0.003685901	0.008817541	0.006616744	0.039927575	0.005346903	0.012293457	0.003228524	0.003564103	0.002132367	0.00573749	0.003745128	0.002800601	0.004612322	0.058516742	0.004061751	0.002646261	0.005197601	0.004730534	0.005561113	0.003097351
TCGA-VQ-A91E-01A	0.191042474	0.004086731	0.004125663	0.003924042	0.005928504	0.101350488	0.006048474	0.004936267	0.002028717	0.007461355	0.004578952	0.003850768	0.002777901	0.010258101	0.005716958	0.014838544	0.001446932	0.011440225	0.044766794	0.004478026	0.010424552	0.008803544	0.003953428	0.006148622	0.040067492	0.02335556	0.002507389	0.007651688	0.003490571	0.004559578	0.156836901	0.002170471	0.002362707	0.00426992	0.007309201	0.004294815	0.006443035	0.00491916	0.002504129	0.004333208	0.00338234	0.005012054	0.009617695	0.002555361	0.003910542	0.002493844	0.007712331	0.002447386	0.05386592	0.008675903	0.019634678	0.002333318	0.001979739	0.005561687	0.003318985	0.00262067	0.002383312	0.00333964	0.101726165	0.001976855	0.002893509	0.002856791	0.002608528	0.004197635	0.001403223
TCGA-CG-5728-01A	0.291969357	0.00304688	0.004531009	0.002845148	0.007164719	0.151476353	0.003892432	0.004126132	0.0017084	0.003022108	0.00269334	0.006136834	0.00233971	0.008792187	0.005594095	0.01427106	0.001869839	0.009616385	0.052299127	0.007697562	0.003000093	0.010521633	0.003251168	0.007841502	0.06869228	0.025520678	0.00137305	0.010970674	0.002685557	0.003131821	0.063047194	0.001365282	0.00223081	0.002885772	0.006785032	0.003807309	0.007401685	0.006554655	0.002297626	0.00352507	0.002792792	0.007142189	0.004154175	0.004394856	0.004413033	0.002875614	0.006399227	0.003055406	0.034037827	0.004123943	0.010379771	0.001984189	0.001084135	0.00255945	0.002820109	0.002790041	0.001642378	0.003398064	0.064675837	0.001795175	0.002561123	0.00264669	0.002221887	0.00285162	0.001218904
TCGA-BR-4370-01A	0.394210404	0.006603967	0.0032695	0.002970087	0.005039088	0.183930829	0.005841984	0.003696613	0.002103072	0.003312992	0.003061254	0.003646756	0.003193508	0.028554316	0.003644636	0.008987918	0.001005006	0.008754118	0.03410072	0.003855512	0.003363018	0.005957393	0.003485163	0.00560578	0.048178525	0.020144329	0.001468397	0.005680944	0.00559676	0.003040526	0.010367523	0.001811891	0.002144836	0.003865391	0.006671403	0.003219554	0.004879182	0.015052164	0.001635015	0.002854339	0.003197542	0.003154479	0.003706865	0.002746518	0.003207011	0.002408428	0.005553133	0.001994544	0.039126972	0.003541314	0.00776791	0.00180552	0.001272173	0.001809841	0.002713774	0.002387341	0.002054199	0.003619841	0.028104109	0.001423304	0.003470172	0.002815806	0.002862885	0.003447616	0.001004288
TCGA-CD-A4MJ-01A	0.23860671	0.002647712	0.004964634	0.004243994	0.006881138	0.158295496	0.00356091	0.004019239	0.002392122	0.004288728	0.003820993	0.004960868	0.002275232	0.005690812	0.00585568	0.016216594	0.00170459	0.017013299	0.047520448	0.007373064	0.005028164	0.010038985	0.004819084	0.004223649	0.075332305	0.054553081	0.00241229	0.008923913	0.004475265	0.004533487	0.029499495	0.0024021	0.00236763	0.004661248	0.006602118	0.00444578	0.005989878	0.008779205	0.003863478	0.004886199	0.004177225	0.007118945	0.007535038	0.004412291	0.004426444	0.003240678	0.007956623	0.010833162	0.030557967	0.005368417	0.015196334	0.004046616	0.001477094	0.002170796	0.004680238	0.004543206	0.002357723	0.008937783	0.050736877	0.003732464	0.002747649	0.003192389	0.003052073	0.015146934	0.002185417
